Department,JobRole,SalaryBand,Gender,EducationField,EmployeeCount,AvgMonthlyIncome,AvgJobLevel,AvgPerformanceRating
Research & Development,Manufacturing Director,Mid,Male,Life Sciences,15,5183.6,2.0,3.13
Research & Development,Manufacturing Director,Mid,Male,Medical,18,5344.06,2.0,3.22
Research & Development,Manufacturing Director,Mid,Male,Technical Degree,4,4785.0,2.0,3.0
Research & Development,Research Director,High,Female,Life Sciences,16,14707.31,3.69,3.12
Research & Development,Research Director,High,Female,Medical,12,15388.17,3.75,3.17
Research & Development,Research Director,High,Female,Other,1,16413.0,4.0,3.0
Research & Development,Research Director,High,Female,Technical Degree,4,15845.0,3.75,3.0
Research & Development,Research Director,High,Male,Life Sciences,20,17365.4,4.4,3.1
Research & Development,Research Director,High,Male,Medical,23,16554.04,4.09,3.09
Research & Development,Research Director,High,Male,Other,3,14019.0,3.33,3.0
Research & Development,Research Director,High,Male,Technical Degree,1,12808.0,3.0,3.0
Research & Development,Research Scientist,High,Female,Life Sciences,1,6545.0,2.0,3.0
Research & Development,Research Scientist,High,Female,Medical,1,6854.0,2.0,3.0
Research & Development,Research Scientist,High,Female,Other,1,6962.0,2.0,4.0
Research & Development,Research Scientist,High,Male,Life Sciences,2,8185.0,2.5,3.0
Research & Development,Research Scientist,Low,Female,Life Sciences,36,2597.92,1.03,3.17
Research & Development,Research Scientist,Low,Female,Medical,25,2487.76,1.08,3.24
Research & Development,Research Scientist,Low,Female,Other,5,2710.8,1.0,3.0
Research & Development,Research Scientist,Low,Female,Technical Degree,9,2684.0,1.0,3.11
Research & Development,Research Scientist,Low,Male,Life Sciences,62,2645.23,1.02,3.19
Research & Development,Research Scientist,Low,Male,Medical,46,2613.15,1.0,3.13
Research & Development,Research Scientist,Low,Male,Other,4,2825.5,1.0,3.0
Research & Development,Research Scientist,Low,Male,Technical Degree,21,2569.48,1.1,3.33
Research & Development,Research Scientist,Mid,Female,Life Sciences,15,4826.67,1.6,3.13
Research & Development,Research Scientist,Mid,Female,Medical,16,4597.88,1.56,3.12
Research & Development,Research Scientist,Mid,Female,Other,2,4234.5,2.0,3.0
Research & Development,Research Scientist,Mid,Female,Technical Degree,3,4348.33,1.33,3.33
Research & Development,Research Scientist,Mid,Male,Life Sciences,17,4718.71,1.71,3.18
Research & Development,Research Scientist,Mid,Male,Medical,15,4536.67,1.4,3.07
Research & Development,Research Scientist,Mid,Male,Other,5,4513.0,1.8,3.2
Research & Development,Research Scientist,Mid,Male,Technical Degree,6,4688.17,1.67,3.0
Sales,Manager,High,Female,Life Sciences,9,16510.22,4.0,3.11
Sales,Manager,High,Female,Marketing,7,17974.86,4.57,3.29
Sales,Manager,High,Female,Medical,2,16010.5,4.0,3.5
Sales,Manager,High,Female,Technical Degree,1,16872.0,4.0,3.0
Sales,Manager,High,Male,Life Sciences,7,16922.43,4.14,3.29
Sales,Manager,High,Male,Marketing,7,17696.0,4.57,3.14
Sales,Manager,High,Male,Medical,3,16992.0,4.33,3.33
Sales,Manager,High,Male,Technical Degree,1,11904.0,3.0,3.0
Sales,Sales Executive,High,Female,Life Sciences,15,8852.2,2.73,3.2
Sales,Sales Executive,High,Female,Marketing,26,9090.81,2.73,3.12
Sales,Sales Executive,High,Female,Medical,10,8773.7,2.7,3.1
Sales,Sales Executive,High,Female,Other,1,8412.0,3.0,3.0
Sales,Sales Executive,High,Female,Technical Degree,4,9098.0,2.75,3.0
Sales,Sales Executive,High,Male,Life Sciences,36,8943.64,2.64,3.06
Sales,Sales Executive,High,Male,Marketing,32,9147.97,2.72,3.03
Sales,Sales Executive,High,Male,Medical,18,9002.72,2.72,3.06
Sales,Sales Executive,High,Male,Other,2,9098.0,3.0,3.0
Sales,Sales Executive,High,Male,Technical Degree,8,8488.12,2.62,3.25
Sales,Sales Executive,Mid,Female,Life Sciences,28,5239.93,2.0,3.11
Sales,Sales Executive,Mid,Female,Marketing,27,5013.04,2.0,3.19
Sales,Sales Executive,Mid,Female,Medical,14,5154.29,2.0,3.29
Sales,Sales Executive,Mid,Female,Other,2,4953.0,2.0,4.0
Sales,Sales Executive,Mid,Female,Technical Degree,5,5413.6,2.0,3.0
Sales,Sales Executive,Mid,Male,Life Sciences,28,5175.82,2.0,3.14
Sales,Sales Executive,Mid,Male,Marketing,37,5200.73,2.0,3.16
Sales,Sales Executive,Mid,Male,Medical,23,4975.43,2.0,3.09
Sales,Sales Executive,Mid,Male,Other,8,4922.5,2.0,3.25
Sales,Sales Executive,Mid,Male,Technical Degree,2,5202.5,2.0,3.0
Sales,Sales Representative,High,Male,Technical Degree,1,6632.0,2.0,3.0
Sales,Sales Representative,Low,Female,Life Sciences,11,2443.64,1.0,3.09
Sales,Sales Representative,Low,Female,Marketing,8,2557.38,1.0,3.12
Sales,Sales Representative,Low,Female,Medical,10,2495.4,1.1,3.1
Sales,Sales Representative,Low,Female,Other,1,2966.0,1.0,3.0
Sales,Sales Representative,Low,Female,Technical Degree,5,2487.4,1.0,3.2
Sales,Sales Representative,Low,Male,Life Sciences,13,2598.31,1.0,3.23
Sales,Sales Representative,Low,Male,Marketing,13,2470.38,1.08,3.08
Sales,Sales Representative,Low,Male,Medical,8,2108.0,1.12,3.25
Sales,Sales Representative,Low,Male,Other,1,2121.0,1.0,3.0
Sales,Sales Representative,Low,Male,Technical Degree,7,2377.0,1.14,3.14
Sales,Sales Representative,Mid,Female,Life Sciences,2,4216.5,1.5,3.0
Sales,Sales Representative,Mid,Female,Marketing,1,5405.0,2.0,4.0
Sales,Sales Representative,Mid,Male,Life Sciences,1,4400.0,1.0,3.0
Sales,Sales Representative,Mid,Male,Marketing,1,3875.0,1.0,3.0
